	target_id	Mfav_DD_euk_1_counts.xprs	Mfav_HH_euk_33_counts.xprs	Mfav_DD_euk_31_counts.xprs	Mfav_HH_euk_3_counts.xprs
0	TRINITY_DN0_c0_g1_i1	0	3	0	3
1	TRINITY_DN0_c1_g1_i6	0	0	0	0
2	TRINITY_DN100004_c0_g1_i1	0	0	0	0
3	TRINITY_DN100008_c0_g1_i1	0	1	0	1
4	TRINITY_DN10000_c0_g1_i1	1	0	1	1
5	TRINITY_DN100011_c0_g1_i1	0	0	1	2
6	TRINITY_DN100013_c0_g1_i1	1	0	0	0
7	TRINITY_DN100016_c0_g1_i1	1	1	2	3
8	TRINITY_DN10001_c0_g1_i1	0	0	1	0
9	TRINITY_DN10001_c0_g2_i1	0	1	0	0
10	TRINITY_DN100026_c0_g1_i1	0	1	0	0
11	TRINITY_DN10002_c0_g1_i1	0	0	0	0
12	TRINITY_DN100031_c0_g1_i1	1	2	1	1
13	TRINITY_DN100032_c0_g1_i1	0	1	0	0
14	TRINITY_DN10003_c0_g2_i2	1	1	0	0
15	TRINITY_DN100049_c0_g1_i1	0	0	0	0
16	TRINITY_DN10004_c0_g1_i1	0	0	0	0
17	TRINITY_DN10004_c0_g2_i2	1	0	0	4
18	TRINITY_DN100050_c0_g1_i1	1	0	1	0
19	TRINITY_DN100052_c0_g1_i1	0	0	1	0
20	TRINITY_DN100059_c0_g1_i1	0	0	1	0
21	TRINITY_DN10005_c0_g3_i1	0	0	0	1
22	TRINITY_DN100061_c0_g1_i1	0	0	1	0
23	TRINITY_DN100067_c0_g1_i1	1	0	5	1
24	TRINITY_DN10006_c0_g1_i12	1	3	2	3
25	TRINITY_DN10006_c0_g2_i1	0	7	1	0
26	TRINITY_DN10006_c1_g1_i1	0	1	1	0
27	TRINITY_DN100073_c0_g1_i1	0	0	4	1
28	TRINITY_DN100077_c0_g1_i1	0	1	3	0
29	TRINITY_DN10007_c0_g1_i2	0	1	2	2
30	TRINITY_DN100080_c0_g1_i1	2	0	0	2
31	TRINITY_DN100083_c0_g1_i1	0	0	0	2
32	TRINITY_DN10008_c0_g1_i2	2	3	2	7
33	TRINITY_DN100090_c0_g1_i1	1	0	0	0
34	TRINITY_DN100093_c0_g1_i1	0	0	1	0
35	TRINITY_DN100094_c0_g1_i1	1	1	1	1
36	TRINITY_DN100096_c0_g1_i1	0	2	3	0
37	TRINITY_DN100099_c0_g1_i1	0	2	2	0
38	TRINITY_DN1000_c0_g1_i2	1	1	0	1
39	TRINITY_DN1000_c0_g2_i1	1	1	1	1
40	TRINITY_DN100104_c0_g1_i1	0	1	0	1
41	TRINITY_DN100105_c0_g1_i1	1	0	1	0
42	TRINITY_DN100107_c0_g1_i1	1	3	1	0
43	TRINITY_DN10010_c0_g1_i1	0	0	1	1
44	TRINITY_DN100111_c0_g1_i1	0	0	1	0
45	TRINITY_DN100114_c0_g1_i1	0	1	3	2
46	TRINITY_DN100115_c0_g1_i1	0	1	0	0
47	TRINITY_DN100119_c0_g1_i1	0	1	0	4
48	TRINITY_DN10011_c0_g2_i2	2	1	1	2
49	TRINITY_DN10012_c0_g1_i4	0	0	1	0
50	TRINITY_DN10012_c0_g2_i1	2	2	1	0
51	TRINITY_DN100133_c0_g1_i1	1	0	3	3
52	TRINITY_DN100134_c0_g1_i1	0	1	1	0
53	TRINITY_DN10013_c0_g1_i1	0	1	2	0
54	TRINITY_DN100146_c0_g1_i1	1	0	1	0
55	TRINITY_DN100148_c0_g1_i1	0	0	0	0
56	TRINITY_DN100149_c0_g1_i1	0	1	2	1
57	TRINITY_DN10014_c0_g1_i2	2	0	1	1
58	TRINITY_DN100152_c0_g1_i1	1	1	0	0
59	TRINITY_DN100158_c0_g1_i1	3	1	0	1
60	TRINITY_DN100159_c0_g1_i1	0	0	1	0
61	TRINITY_DN10015_c0_g2_i4	1	0	2	2
62	TRINITY_DN100166_c0_g1_i1	0	0	0	0
63	TRINITY_DN10016_c0_g1_i1	0	0	5	1
64	TRINITY_DN100170_c0_g1_i1	0	1	1	2
65	TRINITY_DN100174_c0_g1_i1	1	0	0	0
66	TRINITY_DN100175_c0_g1_i1	1	1	1	1
67	TRINITY_DN10017_c0_g5_i1	0	2	0	0
68	TRINITY_DN10017_c3_g1_i1	0	1	0	0
69	TRINITY_DN100182_c0_g1_i1	0	1	0	0
70	TRINITY_DN10018_c0_g1_i1	0	3	0	0
71	TRINITY_DN100199_c0_g1_i1	0	0	1	0
72	TRINITY_DN10019_c0_g1_i2	1	1	0	0
73	TRINITY_DN1001_c0_g1_i1	0	0	0	0
74	TRINITY_DN1001_c0_g2_i1	0	0	0	2
75	TRINITY_DN1001_c0_g3_i1	5	3	0	3
76	TRINITY_DN100205_c0_g1_i1	0	0	0	1
77	TRINITY_DN100209_c0_g1_i1	0	1	1	0
78	TRINITY_DN10020_c0_g1_i1	1	0	0	0
79	TRINITY_DN10020_c0_g2_i1	0	1	2	1
80	TRINITY_DN10020_c0_g3_i1	0	0	0	0
81	TRINITY_DN10020_c0_g4_i1	0	0	0	2
82	TRINITY_DN100214_c0_g1_i1	0	0	0	0
83	TRINITY_DN10021_c0_g1_i1	1	1	3	3
84	TRINITY_DN100221_c0_g1_i1	0	0	0	0
85	TRINITY_DN10022_c0_g1_i1	0	1	1	3
86	TRINITY_DN100230_c0_g1_i1	1	1	0	0
87	TRINITY_DN10023_c0_g1_i1	1	3	1	3
88	TRINITY_DN10023_c0_g2_i1	1	1	2	2
89	TRINITY_DN100240_c0_g1_i1	0	0	0	4
90	TRINITY_DN100243_c0_g1_i1	0	1	1	0
91	TRINITY_DN10024_c0_g1_i1	0	1	1	1
92	TRINITY_DN100251_c0_g1_i1	3	0	3	3
93	TRINITY_DN100254_c0_g1_i1	0	4	1	0
94	TRINITY_DN100255_c0_g1_i1	1	0	0	0
95	TRINITY_DN100257_c0_g1_i1	2	0	1	0
96	TRINITY_DN10025_c0_g1_i5	3	1	5	6
97	TRINITY_DN10025_c1_g1_i1	2	0	1	1
98	TRINITY_DN100267_c0_g1_i1	1	1	1	0
99	TRINITY_DN100269_c0_g1_i1	1	0	0	0
100	TRINITY_DN10026_c0_g1_i1	1	1	3	5
101	TRINITY_DN100274_c0_g1_i1	1	0	1	0
102	TRINITY_DN100275_c0_g1_i1	0	0	1	0
103	TRINITY_DN100277_c0_g1_i1	3	0	0	3
