trinity_mixed 	description	logFC	logCPM	PValue	FDR	uniprot_id	organism	evalue	Name	length	Domains	Protein Families							
comp20584_c0_seq1	Stathmin	-14.41480902	8.838309675	2.57213E-07	0.000171405	Q6DUB7	Sus scrofa	7.99424E-11	coral	149	SLD (stathmin-like) domain (1)	Stathmin family							
comp24214_c0_seq1	Radial spoke head 1 homolog	-14.37099767	6.366769785	1.94169E-07	0.000145083	Q8WYR4	Homo sapiens	5.89905E-61	coral	309	MORN repeats (6)	-							
comp15471_c0_seq1	Predicted protein	-14.30168905	5.743127905	1.61764E-11	8.092E-08	A7S0Y3	Nematostella vectensis	7.31083E-47	coral	362	-	-							
comp30985_c0_seq1	Histone H1.0	-13.02211039	7.445702311	1.2752E-06	0.000549708	Q5NVN9	Pongo abelii	3.34161E-20	coral	194	H15 (linker histone H1/H5 globular) domain (1)	Histone H1/H5 family							
comp33223_c0_seq3	Predicted protein	-12.75757119	4.752345173	3.19588E-07	0.000198997	A7SMH1	Nematostella vectensis	7.4874E-21	coral	755	-	-							
comp34063_c3_seq1	"Sushi, nidogen and EGF-like domain-containing protein 1"	-12.66411776	4.658809296	3.51594E-07	0.000210169	Q70E20	Mus musculus	6.286E-79	coral	1403	EGF-like domains (15); Fibronectin type-III domains (3); NIDO domain (1); Sushi (CCP/SCR) domain (1)								
comp26647_c0_seq1	High mobility group-T protein	-12.54736082	6.970886637	7.76615E-07	0.000370396	P07746	Oncorhynchus mykiss	1.07765E-27	coral	204	HMG box DNA-binding domains (2)	HMGB family							
comp35391_c0_seq9	Egg protein	-11.96125808	3.366914204	8.29816E-07	0.000387524	Q1HA50	Galaxea fascicularis	3.56639E-66	coral	272	-	-							
comp34670_c0_seq1	Putative uncharacterized protein	-11.8932308	11.72639518	1.25718E-06	0.000547202	C3YLI8	Branchiostoma floridae	2.91932E-08	coral	184	-	-							
comp22029_c0_seq1	Bromodomain testis-specific protein	-11.70864629	3.701000836	5.70173E-07	0.000286206	Q58F21	Homo sapiens	2.77134E-18	coral	947	-	Bromo domains (2); NET domain (1)							
comp20308_c0_seq1	Predicted protein	-11.41976421	3.072520104	2.64103E-09	5.39105E-06	A7RU90	Nematostella vectensis	2.17076E-22	coral	278	-	-							
comp34879_c1_seq2	Predicted protein	-10.81773597	10.27522842	8.72691E-06	0.002460658	A7RFU6	Nematostella vectensis	3.78275E-08	coral	532	-	-							
comp29529_c0_seq2	Meiosis-specific with OB domain-containing protein	-10.31154766	4.735677447	9.86768E-06	0.002681137	Q4R8G6	Macaca fascicularis	3.5668E-101	coral	471	OB DNA-binding domain (1)	MEIOB family							
comp30470_c0_seq3	Predicted protein	-10.26926547	2.236463945	9.4785E-06	0.002623088	A7SXA5	Nematostella vectensis	7.093E-39	coral	333	-	-							
comp8237_c0_seq1	Predicted protein	-10.20722892	5.490410078	4.99379E-06	0.001569083	B3SDV8	Trichoplax adhaerens	1.86696E-15	coral	414	-	-							
comp19367_c0_seq1	Peregrin (BRPF1)	-10.09571687	2.042570227	1.57213E-05	0.003709555	P55201	Homo sapiens	3.86549E-09	coral	1214	Bromo domain (1); C2H2-type zinc finger (1); PHD-type zinc finger (1); PWWP domain (1)								
comp34823_c0_seq2	Predicted protein	-10.08239592	7.25049847	2.03301E-06	0.000806583	A7T0X8	Nematostella vectensis	2.42739E-32	coral	747									
comp19270_c0_seq2	Beta-2-syntrophin	-10.02612121	1.974088652	2.32092E-05	0.004954834	Q13425	Homo sapiens	7.63012E-66	coral	540	PDZ (DHR) domain (1); PH domains (2); SU (syntrophin unique) domain (1)	Syntrophin family							
comp23466_c0_seq2	Uncharacterized protein	-9.999771347	8.392544658	2.69741E-05	0.005547266	K1PCN1	Crassostrea gigas	1.80317E-17	coral	293	-	-							
