	contig	logFC	logCPM	p-value	FDR	e-value	bitscore_x	Name	Unnamed: 0	db	entry	entryname	percent-id	align-length	mismatch	gap-opens	q.start	q.end	s.start	s.end	eval	bitscore_y	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
0	TRINITY_DN37647_c0_g3_i1	-5.608370458495389	6.66588914723985	0.0007348942930969731	1				20461.0	sp	F1R345	DDX11_DANRE	57.895	228.0	91.0	2.0	1205.0	534.0	660.0	886.0	9.689999999999994e-88	288.0	F1R345	DDX11_DANRE	reviewed	ATP-dependent DNA helicase DDX11 (EC 3.6.4.12) (DEAD/H-box protein 11)	ddx11 zgc:92172	Danio rerio (Zebrafish) (Brachydanio rerio)	890.0	DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; establishment of sister chromatid cohesion [GO:0034085]; multicellular organism development [GO:0007275]; nucleolar chromatin organization [GO:1990700]; regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901836]; rRNA transcription [GO:0009303]	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleus [GO:0005634]; spindle pole [GO:0000922]	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleus [GO:0005634]; spindle pole [GO:0000922]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; establishment of sister chromatid cohesion [GO:0034085]; multicellular organism development [GO:0007275]; nucleolar chromatin organization [GO:1990700]; regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901836]; rRNA transcription [GO:0009303]	4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]	GO:0000922; GO:0003677; GO:0003678; GO:0003723; GO:0005524; GO:0005634; GO:0005730; GO:0005737; GO:0005815; GO:0006260; GO:0006281; GO:0007275; GO:0009303; GO:0030496; GO:0032508; GO:0034085; GO:0046872; GO:0051539; GO:1901836; GO:1990700
1	TRINITY_DN16095_c0_g1_i1	-5.48533001357882	6.59170114029929	0.00155738097709094	1																													
2	TRINITY_DN87560_c0_g1_i1	-5.3512348134164505	6.514103239836531	0.00251420046184954	1				21282.0	sp	P49454	CENPF_HUMAN	54.0	50.0	23.0	0.0	58.0	207.0	1.0	50.0	1.3800000000000002e-09	55.5	P49454	CENPF_HUMAN	reviewed	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	CENPF	Homo sapiens (Human)	3114.0	cell differentiation [GO:0030154]; cell division [GO:0051301]; cell population proliferation [GO:0008283]; chromosome segregation [GO:0007059]; DNA biosynthetic process [GO:0071897]; kidney development [GO:0001822]; kinetochore assembly [GO:0051382]; metaphase plate congression [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly checkpoint [GO:0007094]; muscle organ development [GO:0007517]; negative regulation of transcription, DNA-templated [GO:0045892]; protein transport [GO:0015031]; regulation of cell cycle [GO:0051726]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of striated muscle tissue development [GO:0016202]; response to drug [GO:0042493]; ventricular system development [GO:0021591]	axoneme [GO:0005930]; cell [GO:0005623]; centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; ciliary basal body [GO:0036064]; ciliary transition fiber [GO:0097539]; condensed chromosome outer kinetochore [GO:0000940]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle pole [GO:0000922]	axoneme [GO:0005930]; cell [GO:0005623]; centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; ciliary basal body [GO:0036064]; ciliary transition fiber [GO:0097539]; condensed chromosome outer kinetochore [GO:0000940]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle pole [GO:0000922]; chromatin binding [GO:0003682]; dynein complex binding [GO:0070840]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; transcription factor binding [GO:0008134]; cell differentiation [GO:0030154]; cell division [GO:0051301]; cell population proliferation [GO:0008283]; chromosome segregation [GO:0007059]; DNA biosynthetic process [GO:0071897]; kidney development [GO:0001822]; kinetochore assembly [GO:0051382]; metaphase plate congression [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly checkpoint [GO:0007094]; muscle organ development [GO:0007517]; negative regulation of transcription, DNA-templated [GO:0045892]; protein transport [GO:0015031]; regulation of cell cycle [GO:0051726]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of striated muscle tissue development [GO:0016202]; response to drug [GO:0042493]; ventricular system development [GO:0021591]	chromatin binding [GO:0003682]; dynein complex binding [GO:0070840]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; transcription factor binding [GO:0008134]	GO:0000278; GO:0000775; GO:0000776; GO:0000922; GO:0000940; GO:0001822; GO:0003682; GO:0005623; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0005829; GO:0005930; GO:0007059; GO:0007094; GO:0007517; GO:0008022; GO:0008134; GO:0008283; GO:0010389; GO:0015031; GO:0016202; GO:0016363; GO:0021591; GO:0030154; GO:0030496; GO:0036064; GO:0042493; GO:0042803; GO:0045120; GO:0045892; GO:0048471; GO:0051301; GO:0051310; GO:0051382; GO:0051726; GO:0070840; GO:0071897; GO:0097539
3	TRINITY_DN2890_c0_g1_i1	-5.486744176001519	6.5928753793178	0.00277559505544665	1																													
4	TRINITY_DN37276_c0_g1_i1	5.3639107648877005	6.517107631690481	0.00287502290217112	1																													
5	TRINITY_DN156507_c0_g1_i1	-5.35072619390199	6.51350248260312	0.00324794171879893	1																													
6	TRINITY_DN15002_c0_g2_i1	-5.35072602042652	6.51350248260312	0.0032485932743575897	1																													
7	TRINITY_DN843_c0_g1_i2	-3.39519728547355	6.80429319016179	0.00386836375097281	1				5853.0	sp	V6CLA2	HECD1_CAEEL	41.25	80.0	44.0	2.0	1541.0	1311.0	1451.0	1530.0	2.74e-10	67.8	V6CLA2	HECD1_CAEEL	reviewed	E3 ubiquitin-protein ligase hecd-1 (EC 2.3.2.26)	hecd-1 C34D4.14	Caenorhabditis elegans	2648.0	determination of adult lifespan [GO:0008340]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; regulation of cell fate specification [GO:0042659]; regulation of germ cell proliferation [GO:1905936]; regulation of response to oxidative stress [GO:1902882]; regulation of vulval development [GO:0040028]		metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; determination of adult lifespan [GO:0008340]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; regulation of cell fate specification [GO:0042659]; regulation of germ cell proliferation [GO:1905936]; regulation of response to oxidative stress [GO:1902882]; regulation of vulval development [GO:0040028]	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0008340; GO:0032436; GO:0040028; GO:0042659; GO:0043161; GO:0045746; GO:0045747; GO:0046872; GO:0070534; GO:1902882; GO:1905936
8	TRINITY_DN843_c0_g1_i2	-3.39519728547355	6.80429319016179	0.00386836375097281	1				5854.0	sp	V6CLA2	HECD1_CAEEL	48.214	56.0	26.0	2.0	1757.0	1596.0	1451.0	1505.0	5.84e-08	60.1	V6CLA2	HECD1_CAEEL	reviewed	E3 ubiquitin-protein ligase hecd-1 (EC 2.3.2.26)	hecd-1 C34D4.14	Caenorhabditis elegans	2648.0	determination of adult lifespan [GO:0008340]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; regulation of cell fate specification [GO:0042659]; regulation of germ cell proliferation [GO:1905936]; regulation of response to oxidative stress [GO:1902882]; regulation of vulval development [GO:0040028]		metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; determination of adult lifespan [GO:0008340]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; regulation of cell fate specification [GO:0042659]; regulation of germ cell proliferation [GO:1905936]; regulation of response to oxidative stress [GO:1902882]; regulation of vulval development [GO:0040028]	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0008340; GO:0032436; GO:0040028; GO:0042659; GO:0043161; GO:0045746; GO:0045747; GO:0046872; GO:0070534; GO:1902882; GO:1905936
9	TRINITY_DN6142_c0_g2_i1	2.6751337314586	6.93223249193253	0.00435827494420028	1				37364.0	sp	Q8C5T4	MORN3_MOUSE	46.032	63.0	34.0	0.0	69.0	257.0	113.0	175.0	8.29e-08	57.4	Q8C5T4	MORN3_MOUSE	reviewed	MORN repeat-containing protein 3	Morn3	Mus musculus (Mouse)	241.0					
